Model,Replicate,Time,Average,SE
28062018,Rep 2,91,5578.272718,392.89625958967355
28062018,Rep 3,91,5243.706201898787,390.52976434726764
28062018,Rep 4,91,5579.6422941450055,398.7415544310241
28062018,Rep 5,91,5772.090893384314,405.3374974018543
28062018,Rep 1,92,6802.136279963567,389.88562671740704
28062018,Rep 2,92,5803.839353735481,404.15010839306814
28062018,Rep 3,92,5469.854711708947,400.3503475311516
28062018,Rep 4,92,5796.064051281975,411.6339945564018
28062018,Rep 5,92,5993.973090536182,412.31963319738105
28062018,Rep 1,93,6816.612919258193,382.87804399127435
28062018,Rep 2,93,5845.618543700075,398.83573763761325
28062018,Rep 3,93,5522.301649662326,396.40744512211705
28062018,Rep 4,93,5837.362276809575,408.5660436246214
28062018,Rep 5,93,6021.397957968852,409.4673977195772
28062018,Rep 1,94,6620.728917200161,366.2721774521223
28062018,Rep 2,94,5686.417117269857,377.4955092569648
28062018,Rep 3,94,5400.770837598221,377.35006587778213
28062018,Rep 4,94,5685.506000696061,390.61763779187635
28062018,Rep 5,94,5848.765050345447,394.31527366963695
28062018,Rep 1,95,6293.652727,341.8749405627788
28062018,Rep 2,95,5406.072397,348.02807837662107
28062018,Rep 3,95,5183.926919009274,349.05223594412917
28062018,Rep 4,95,5422.255347369692,363.60247842302095
28062018,Rep 5,95,5567.560798118756,367.75502318796094
28062018,Rep 1,96,5895.0948845875455,312.5190140052884
28062018,Rep 2,96,5095.285101330288,314.7971508366273
28062018,Rep 3,96,4912.621362015931,315.45066576074026
28062018,Rep 4,96,5093.781364007988,328.7164926407941
28062018,Rep 5,96,5232.154874169561,333.53254440089273
28062018,Rep 1,97,5493.0377457105205,284.36845125219617
28062018,Rep 2,97,4789.386754922282,284.4032171254598
28062018,Rep 3,97,4618.869308355572,286.90453137399334
28062018,Rep 4,97,4768.602466843111,295.2434786
28062018,Rep 5,97,4882.925300966704,299.9618805629535
28062018,Rep 1,98,5172.835029,263.9147722880228
28062018,Rep 2,98,4536.019111739025,264.66086662697745
28062018,Rep 3,98,4367.078655078748,268.9172577548755
28062018,Rep 4,98,4513.863242561476,270.42911447875673
28062018,Rep 5,98,4589.631118533027,277.61189981462445
28062018,Rep 1,99,4995.456168,255.18852248495222
28062018,Rep 2,99,4381.802212809334,256.6580109064211
28062018,Rep 3,99,4213.23086,261.08019691713565
28062018,Rep 4,99,4377.793764964441,258.14242895934336
28062018,Rep 5,99,4404.788066417428,269.6854033
28062018,Rep 1,100,4995.547438553039,259.43878539032505
28062018,Rep 2,100,4364.636722,263.70060653373986
28062018,Rep 3,100,4177.986248,266.6126156053544
28062018,Rep 4,100,4379.645365530385,260.05639729989826
28062018,Rep 5,100,4367.0177479148715,277.1216170824267
28062018,Rep 1,101,5132.133726786494,273.43496150699474
28062018,Rep 2,101,4452.310923,281.97480883145676
28062018,Rep 3,101,4226.923361,281.0591137294189
28062018,Rep 4,101,4480.316187789477,273.40530361956496
28062018,Rep 5,101,4440.786261501252,294.3366973
28062018,Rep 1,102,5316.069025480075,290.74727191063795
28062018,Rep 2,102,4580.355626361714,301.2468953028501
28062018,Rep 3,102,4334.632802507629,297.87067975154525
28062018,Rep 4,102,4618.223168012406,289.73353617399215
28062018,Rep 5,102,4565.686740850895,312.19708588626116
28062018,Rep 1,103,5485.937946215947,305.57684263369396
28062018,Rep 2,103,4704.721077001443,315.9392238781769
28062018,Rep 3,103,4453.690413260917,310.8770079253133
28062018,Rep 4,103,4748.831123425322,303.58183602570506
28062018,Rep 5,103,4697.883879863724,328.12615955156963
28062018,Rep 1,104,5608.275478388687,315.4248906916336
28062018,Rep 2,104,4800.612392567127,325.08904325986504
28062018,Rep 3,104,4542.863849596085,319.6182892969314
28062018,Rep 4,104,4840.769044084615,312.43832827294676
28062018,Rep 5,104,4795.510685737304,339.99003851925784
28062018,Rep 1,105,5629.500047323446,317.7049208410014
28062018,Rep 2,105,4817.109797720151,325.63784427339687
28062018,Rep 3,105,4559.843287427484,319.69344477326246
28062018,Rep 4,105,4855.467981777348,313.40884597344495
28062018,Rep 5,105,4806.982531344422,342.58486043130546
28062018,Rep 1,106,5504.683871877713,309.3834047032398
28062018,Rep 2,106,4728.594207859644,315.7381609257614
28062018,Rep 3,106,4481.818854,308.3827065085142
28062018,Rep 4,106,4769.0738722473625,303.3246792355091
28062018,Rep 5,106,4701.820388750819,332.7538652443713
28062018,Rep 1,107,5291.564936852108,295.27707346687737
28062018,Rep 2,107,4572.000545587131,299.90493590383784
28062018,Rep 3,107,4345.912088195956,290.3117736092177
28062018,Rep 4,107,4621.490346736178,284.7753184201068
28062018,Rep 5,107,4531.419193272982,316.4134569
28062018,Rep 1,108,5097.127121445153,280.32794028953134
28062018,Rep 2,108,4423.122647134716,284.5180576226738
28062018,Rep 3,108,4226.765889642608,273.3641969
28062018,Rep 4,108,4484.098616724271,266.9659506
28062018,Rep 5,108,4372.430957573659,300.7538786469376
28062018,Rep 1,109,4969.605369701123,269.2986375246586
28062018,Rep 2,109,4328.732847719813,275.28460905690156
28062018,Rep 3,109,4154.841760253617,262.5112777798998
28062018,Rep 4,109,4398.6728485930025,256.01438727863876
28062018,Rep 5,109,4270.236599413681,290.6114226205526
28062018,Rep 1,110,4961.39728,267.2754197012752
28062018,Rep 2,110,4319.1881247643505,275.99994820842267
28062018,Rep 3,110,4156.068454519503,262.3573059838623
28062018,Rep 4,110,4392.190299323968,254.94853447728295
28062018,Rep 5,110,4250.774522633108,291.0941488484559
28062018,Rep 1,111,5104.968398573497,279.6418001055448
28062018,Rep 2,111,4442.067625551381,291.0724258077082
28062018,Rep 3,111,4258.397916937622,273.35033715287096
28062018,Rep 4,111,4494.891571562568,267.778018
28062018,Rep 5,111,4353.846084563148,305.1645831836723
28062018,Rep 1,112,5417.725039578306,304.21342871597005
28062018,Rep 2,112,4708.709064,318.75568169700983
