Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
159,8,0,0,89,0
159,9,0,0,79,0
159,10,0,0,69,0
159,11,0,0,59,0
159,12,0,0,49,0
159,13,0,0,39,0
159,14,0,0,29,0
159,15,0,0,19,0
159,16,0,0,9,0
160,1,5.1580758182272137e-05,4.285729785916068e-06,160,0.005158076
160,2,5.4324415532392997e-05,3.821472487203341e-06,150,0.005432442
160,3,6.420158199282808e-05,2.544363154738352e-06,140,0.006420158
160,4,5.761680435253803e-05,3.246339156160533e-06,130,0.00576168
160,5,5.981173023263471e-05,2.6600744943666257e-06,120,0.005981173
160,6,1.0425897930459262e-05,2.016168161049815e-06,110,0.00104259
160,7,0,0,100,0
160,8,0,0,90,0
160,9,0,0,80,0
160,10,0,0,70,0
160,11,0,0,60,0
160,12,0,0,50,0
160,13,0,0,40,0
160,14,0,0,30,0
160,15,0,0,20,0
160,16,0,0,10,0
160,17,0,0,0,0
161,1,5.322695259234464e-05,3.9378891108100995e-06,161,0.005322695
161,2,5.377568406236882e-05,3.4268269319591614e-06,151,0.005377568
161,3,6.475031346285225e-05,1.8608389509146737e-06,141,0.006475031
161,4,5.761680435253803e-05,3.246339156160533e-06,131,0.00576168
161,5,5.981173023263471e-05,2.6600744943666257e-06,121,0.005981173
161,6,9.87716646043509e-06,2.391865024975883e-06,111,0.000987717
161,7,0,0,101,0
161,8,0,0,91,0
161,9,0,0,81,0
161,10,0,0,71,0
161,11,0,0,61,0
161,12,0,0,51,0
161,13,0,0,41,0
161,14,0,0,31,0
161,15,0,0,21,0
161,16,0,0,11,0
161,17,0,0,1,0
162,1,5.322695259234464e-05,3.9378891108100995e-06,162,0.005322695
162,2,5.377568406236882e-05,3.4268269319591614e-06,152,0.005377568
162,3,6.20066561127314e-05,1.8608389509146714e-06,142,0.006200666
162,4,5.6519341412489675e-05,2.5443631547383515e-06,132,0.005651934
162,5,6.090919317268305e-05,2.660074494366626e-06,122,0.006090919
162,6,1.0425897930459262e-05,2.016168161049815e-06,112,0.00104259
