Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
37,1,3326,0.000449685,6.2775215932092446e-06,37,0.044968544
37,1,3327,0.000105243,3.962500718283994e-06,37,0.010524294
37,1,3328,4.533333333333333e-05,2.5495097567963924e-06,37,0.004533333
37,2,3326,0.007962094,0,27,0.796209363
37,2,3327,0.001500489,1.0965300447380803e-05,27,0.150048902
37,2,3328,7.766666666666667e-05,2.7688746209726934e-06,27,0.007766667
37,3,3326,0.047690252,0,17,4.769025206
37,3,3327,0.021347221,6.115245525013605e-05,17,2.134722066
37,3,3328,0.00608,4.929221259207424e-05,17,0.608
37,4,3326,0.2856462822071077,0,7,28.56462822
37,4,3327,0.2856457731304113,0,7,28.56457731
37,4,3328,0.285645,0,7,28.5645
38,1,3326,0.000454624,5.463254952093872e-06,38,0.045462402
38,1,3327,7.482462285170626e-05,1.5933759220588681e-06,38,0.007482462
38,1,3328,2.9999999999999997e-05,2.4152294576982395e-06,38,0.003
38,2,3326,0.001963087,0,28,0.196308683
38,2,3327,0.000298188,9.07753278429796e-06,28,0.029818833
38,2,3328,1.433333333333333e-05,1.1303883305208785e-06,28,0.001433333
38,3,3326,0.039874944,0,18,3.98749441
38,3,3327,0.005997737,1.0142005229349638e-05,18,0.59977375
38,3,3328,0.00604,4.0145568456134394e-05,18,0.604
38,4,3326,0.23882988501332042,0,8,23.8829885
38,4,3327,0.2388304267556865,0,8,23.88304268
38,4,3328,0.13213466666666665,0.000145867,8,13.21346667
39,1,3326,0.000433772,4.8772319884680866e-06,39,0.043377223
39,1,3327,2.7531908705078857e-05,1.8708708571807456e-06,39,0.002753191
39,1,3328,1.2e-05,2.8087165910587862e-06,39,0.0012
39,2,3326,0.001867059,0,29,0.186705883
39,2,3327,0.000190947,7.570265592432887e-06,29,0.019094711
39,2,3328,1.3333333333333334e-06,6.236095644623235e-07,29,0.000133333
39,3,3326,0.033339552,0,19,3.333955229
39,3,3327,0.001711641,8.821388085718154e-06,19,0.1711641
39,3,3328,0.007474667,8.399470882805862e-05,19,0.747466667
39,4,3326,0.1996874974278212,0,9,19.96874974
39,4,3327,0.1996873796172842,0,9,19.96873796
39,4,3328,0.073049333,4.983751376000255e-05,9,7.304933333
40,1,3326,0.000413744,5.305980790514584e-06,40,0.041374353
40,1,3327,8.52601043770184e-05,2.8390530916322786e-06,40,0.00852601
40,1,3328,1.2333333333333331e-05,2.5055493963954848e-06,40,0.001233333
40,2,3326,0.001776518,0,30,0.177651813
40,2,3327,0.000352364,8.899282648939866e-06,30,0.035236403
40,2,3328,6.333333333333333e-06,1.433720877840438e-06,30,0.000633333
40,3,3326,0.027875559,0,20,2.787555868
40,3,3327,0.001048655,1.3752518469747037e-05,20,0.104865488
40,3,3328,0.012299333,6.764408490195377e-05,20,1.229933333
40,4,3326,0.1669597807269045,0,10,16.69597807
40,4,3327,0.1669599333017308,0,10,16.69599333
40,4,3328,0.037438,7.91085751778286e-05,10,3.7438
40,5,3326,1,0,0,100
40,5,3327,1,0,0,100
40,5,3328,1,0,0,100
41,1,3326,0.000424718,7.420566091300373e-06,41,0.042471816
41,1,3327,0.000129888,6.270179610810845e-06,41,0.012988844
41,1,3328,1.3999999999999998e-05,2.147349787787521e-06,41,0.0014
41,2,3326,0.001688721,0,31,0.16887211
41,2,3327,0.000327719,1.1613755590465579e-05,31,0.032771853
41,2,3328,9.666666666666667e-06,1.105541596785133e-06,31,0.000966667
41,3,3326,0.023305997,0,21,2.330599736
41,3,3327,0.000791986,9.745388170981858e-06,21,0.079198644
41,3,3328,0.010301,4.896030137887615e-05,21,1.0301
41,4,3326,0.1395959141454742,0,11,13.95959141
41,4,3327,0.1395956583956224,0,11,13.95956584
41,4,3328,0.021630667,7.645005631856562e-05,11,2.163066667
41,5,3326,0.8361048845331804,0,1,83.61048845
41,5,3327,0.8361052118569272,0,1,83.61052119
41,5,3328,0.8361050000000001,0,1,83.6105
42,1,3326,0.00037835,1.1165033705495054e-05,42,0.037835035
42,1,3327,0.000105243,6.458026416087475e-06,42,0.010524294
42,1,3328,1.2333333333333334e-05,2.2110831935702664e-06,42,0.001233333
42,2,3326,0.001606411,0,32,0.160641138
42,2,3327,0.00025023,1.0117672168293905e-05,32,0.025022953
42,2,3328,9.333333333333334e-06,1.6329931618554524e-06,32,0.000933333
42,3,3326,0.019486826,0,22,1.948682633
42,3,3327,0.000799091,3.688664674851261e-06,22,0.079909145
42,3,3328,0.006631333,4.0887379199184256e-05,22,0.663133333
42,4,3326,0.1167165555028163,0,12,11.67165555
42,4,3327,0.11671642,0,12,11.67164202
42,4,3328,0.018795,8.827356468513322e-05,12,1.8795
42,5,3326,0.6990729181813942,0,2,69.90729182
42,5,3327,0.6990729073806609,0,2,69.90729074
42,5,3328,0.6990716666666666,0,2,69.90716667
43,1,3326,0.000434595,5.103497679623262e-06,43,0.043459532
43,1,3327,8.414994676794265e-05,4.52857224947265e-06,43,0.008414995
43,1,3328,1.7999999999999997e-05,2.321398046197353e-06,43,0.0018
43,2,3326,0.001528217,0,33,0.152821714
43,2,3327,0.000304627,5.557444999246057e-06,33,0.030462725
43,2,3328,6.333333333333333e-06,1.8559214542766738e-06,33,0.000633333
43,3,3326,0.016293209,0,23,1.629320917
43,3,3327,0.00420128,2.399738627876438e-05,23,0.420128046
43,3,3328,0.004673667,4.367620760907357e-05,23,0.467366667
43,4,3326,0.097587776,0,13,9.758777646
43,4,3327,0.097587294,0,13,9.758729447
43,4,3328,0.050710667,0.000121281,13,5.071066667
43,5,3326,0.5844977872403472,0,3,58.44977872
43,5,3327,0.584499091,0,3,58.44990913
43,5,3328,0.5844983333333333,0,3,58.44983333
44,1,3326,0.000395087,6.706544754034188e-06,44,0.039508666
44,1,3327,6.549929893546987e-05,3.1203131804694853e-06,44,0.00654993
44,1,3328,1.6666666666666667e-05,1.1785113019775798e-06,44,0.001666667
44,2,3326,0.001454138,0,34,0.14541384
44,2,3327,0.000285311,7.338805173355945e-06,34,0.028531051
44,2,3328,4.333333333333333e-06,1.5456030825826175e-06,34,0.000433333
44,3,3326,0.013622259,0,24,1.362225874
44,3,3327,0.007187604,2.565064741255881e-05,24,0.718760442
44,3,3328,0.003172667,3.95340921793334e-05,24,0.317266667
44,4,3326,0.081593626,0,14,8.159362594
44,4,3327,0.081593254,0,14,8.159325379
44,4,3328,0.068530333,2.515176159061301e-05,14,6.853033333
44,5,3326,0.48870299086087743,0,4,48.87029909
44,5,3327,0.4887024810912405,0,4,48.87024811
44,5,3328,0.4887016666666666,0,4,48.87016667
45,1,3326,0.000163796,4.285729785915812e-06,45,0.016379634
45,1,3327,5.373162827926681e-05,2.5461120484694186e-06,45,0.005373163
45,1,3328,1.7333333333333332e-05,1.7159383568311663e-06,45,0.001733333
45,2,3326,0.001382803,0,35,0.13828033
45,2,3327,0.000260221,9.151901242836327e-06,35,0.026022094
45,2,3328,3e-06,6.236095644623235e-07,35,0.0003
45,3,3326,0.011388922,0,25,1.138892166
45,3,3327,0.007560395,1.5235472338128346e-05,25,0.756039535
45,3,3328,0.001818,4.030232968177213e-05,25,0.1818
45,4,3326,0.06822104,0,15,6.822104001
45,4,3327,0.068220295,0,15,6.822029524
45,4,3328,0.068159,1.3540064007701634e-06,15,6.8159
45,5,3326,0.4086074018387992,0,5,40.86074018
45,5,3327,0.4086068299116425,0,5,40.86068299
45,5,3328,0.4086066666666667,0,5,40.86066667
46,1,3326,0.000110844,4.6601809583203585e-06,46,0.011084376
46,1,3327,4.4850367406660724e-05,2.5940656404106074e-06,46,0.004485037
46,1,3328,1.3999999999999998e-05,2.147349787787521e-06,46,0.0014
46,2,3326,0.001315584,0,36,0.13155837
46,2,3327,0.000202715,5.249531421353595e-06,36,0.020271478
46,2,3328,8.999999999999999e-06,1.7159383568311663e-06,36,0.0009
46,3,3326,0.00952296,2.743657349998438e-07,26,0.95229603
46,3,3327,0.006503747,2.626549381857659e-05,26,0.650374734
46,3,3328,0.001107667,3.0311347343486454e-05,26,0.110766667
46,4,3326,0.057039264,0,16,5.703926448
46,4,3327,0.057039898,0,16,5.703989795
46,4,3328,0.057026,1.7159383568420123e-06,16,5.7026
46,5,3326,0.3416388414083742,0,6,34.16388414
46,5,3327,0.3416387924593654,0,6,34.16387925
46,5,3328,0.3416383333333333,0,6,34.16383333
47,1,3326,9.63023729892209e-05,4.008933127783721e-06,47,0.009630237
47,1,3327,4.684865110299709e-05,2.0288870650538e-06,47,0.004684865
47,1,3328,1.9e-05,1.7159383568311665e-06,47,0.0019
47,2,3326,0.001251108,0,37,0.125110775
47,2,3327,0.000180956,4.398802529863857e-06,37,0.018095569
47,2,3328,6.066666666666667e-05,5.233439489369195e-06,37,0.006066667
47,3,3326,0.007962094,0,27,0.796209363
47,3,3327,0.005391369,2.9133124786632223e-05,27,0.539136941
47,3,3328,0.000777333,1.6224124698184117e-05,27,0.077733333
47,4,3326,0.047690252,0,17,4.769025206
47,4,3327,0.047691261,0,17,4.769126073
47,4,3328,0.045518333333333286,3.1583223394705335e-05,17,4.551833333
